name1|name2
leukocyte mediated immunity|dendritic cell cytokine production
leukocyte mediated immunity|myeloid leukocyte mediated immunity
leukocyte mediated immunity|lymphocyte mediated immunity
myeloid leukocyte mediated immunity|type III hypersensitivity
myeloid leukocyte mediated immunity|myeloid dendritic cell cytokine production
myeloid leukocyte mediated immunity|type II hypersensitivity
myeloid leukocyte mediated immunity|neutrophil mediated immunity
myeloid leukocyte mediated immunity|eosinophil mediated immunity
myeloid leukocyte mediated immunity|mast cell mediated immunity
myeloid leukocyte mediated immunity|basophil mediated immunity
myeloid leukocyte mediated immunity|microglial cell mediated cytotoxicity
type II hypersensitivity|type IIa hypersensitivity
type II hypersensitivity|type IIb hypersensitivity
neutrophil mediated immunity|neutrophil mediated cytotoxicity
mast cell mediated immunity|type I hypersensitivity mediated by mast cells
lymphocyte mediated immunity|natural killer cell mediated immunity
lymphocyte mediated immunity|T cell mediated immunity
lymphocyte mediated immunity|B cell mediated immunity
B cell antigen processing and presentation|B cell antigen processing and presentation mediated by B cell receptor uptake of antigen
B cell antigen processing and presentation|B cell antigen processing and presentation following pinocytosis
peripheral B cell tolerance induction|B cell tolerance induction in mucosal-associated lymphoid tissue
B cell receptor editing|peripheral B cell receptor editing
B cell receptor editing|central B cell receptor editing
T cell mediated immunity|type IV hypersensitivity
T cell mediated immunity|T cell mediated cytotoxicity
T cell mediated immunity|T cell cytokine production
T cell mediated immunity|T cell mediated immune response to tumor cell
T cell mediated immunity|peripheral T cell tolerance induction
peripheral T cell tolerance induction|T cell tolerance induction in mucosal-associated lymphoid tissue
peripheral T cell tolerance induction|T cell tolerance induction to tumor cell
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains|T cell mediated immunity
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains|tolerance induction dependent upon immune response
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains|germinal center formation
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains|B cell mediated immunity
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains|T-helper 1 type immune response
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains|T-helper 17 type immune response
tolerance induction dependent upon immune response|tolerance induction to nonself antigen
tolerance induction dependent upon immune response|peripheral tolerance induction
tolerance induction to nonself antigen|mucosal tolerance induction
tolerance induction to nonself antigen|central tolerance induction to nonself antigen
tolerance induction to nonself antigen|peripheral tolerance induction to nonself antigen
peripheral tolerance induction|tolerance induction to tumor cell
peripheral tolerance induction|peripheral B cell tolerance induction
peripheral tolerance induction|peripheral T cell tolerance induction
peripheral tolerance induction|peripheral tolerance induction to nonself antigen
peripheral tolerance induction|peripheral tolerance induction to self antigen
dendritic cell antigen processing and presentation|myeloid dendritic cell antigen processing and presentation
dendritic cell antigen processing and presentation|plasmacytoid dendritic cell antigen processing and presentation
antigen processing and presentation of peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen via MHC class I
antigen processing and presentation of peptide antigen via MHC class I|antigen processing and presentation of exogenous peptide antigen via MHC class I
antigen processing and presentation via MHC class Ib|antigen processing and presentation of peptide antigen via MHC class Ib
antigen processing and presentation via MHC class Ib|antigen processing and presentation of lipid antigen via MHC class Ib
antigen processing and presentation of endogenous peptide antigen via MHC class Ib|antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway
antigen processing and presentation of exogenous peptide antigen via MHC class Ib|antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent
antigen processing and presentation of exogenous peptide antigen via MHC class Ib|antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-independent
antigen processing and presentation of exogenous peptide antigen|antigen processing and presentation of exogenous peptide antigen via MHC class Ib
antigen processing and presentation of exogenous peptide antigen|antigen processing and presentation of exogenous peptide antigen via MHC class II
antigen processing and presentation of exogenous peptide antigen|antigen processing and presentation of exogenous peptide antigen via MHC class I
antigen processing and presentation of endogenous peptide antigen|antigen processing and presentation of endogenous peptide antigen via MHC class Ib
antigen processing and presentation of endogenous peptide antigen|antigen processing and presentation of endogenous peptide antigen via MHC class II
antigen processing and presentation of endogenous peptide antigen|antigen processing and presentation of endogenous peptide antigen via MHC class I
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway|antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway|antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent
antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway|antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent
antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway|antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-independent
antigen processing and presentation of peptide antigen via MHC class II|antigen processing and presentation of endogenous peptide antigen via MHC class II
antigen processing and presentation of peptide antigen via MHC class II|antigen processing and presentation of exogenous peptide antigen via MHC class II
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|antigen processing and presentation of peptide antigen via MHC class II
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|antigen processing and presentation of polysaccharide antigen via MHC class II
tolerance induction|lymphocyte anergy
tolerance induction|tolerance induction dependent upon immune response
tolerance induction|central tolerance induction
tolerance induction|tolerance induction to self antigen
tolerance induction|B cell tolerance induction
tolerance induction|T cell tolerance induction
tolerance induction|natural killer cell tolerance induction
tolerance induction|macrophage tolerance induction
tolerance induction|tolerance induction to lipopolysaccharide
central tolerance induction|central tolerance induction to nonself antigen
central tolerance induction|central tolerance induction to self antigen
central tolerance induction|central B cell tolerance induction
central tolerance induction|central T cell tolerance induction
tolerance induction to self antigen|peripheral tolerance induction to self antigen
tolerance induction to self antigen|central tolerance induction to self antigen
B cell tolerance induction|peripheral B cell tolerance induction
B cell tolerance induction|central B cell tolerance induction
B cell tolerance induction|B cell anergy
B cell anergy|central B cell anergy
B cell anergy|peripheral B cell anergy
T cell tolerance induction|peripheral T cell tolerance induction
T cell tolerance induction|central T cell tolerance induction
T cell tolerance induction|T cell anergy
lymphocyte chemotaxis across high endothelial venule|B cell chemotaxis across high endothelial venule
leukocyte migration involved in immune response|leukocyte chemotaxis involved in immune response
leukocyte migration involved in inflammatory response|leukocyte chemotaxis involved in inflammatory response
hypersensitivity|type III hypersensitivity
hypersensitivity|type IV hypersensitivity
hypersensitivity|type II hypersensitivity
hypersensitivity|type I hypersensitivity
basophil mediated immunity|type I hypersensitivity mediated by basophils
somatic diversification of immune receptors via germline recombination within a single locus|somatic recombination of T cell receptor gene segments
somatic diversification of immune receptors via germline recombination within a single locus|somatic recombination of immunoglobulin gene segments
somatic diversification of immune receptors via germline recombination within a single locus|V(D)J recombination
somatic diversification of immune receptors via alternate splicing|alternate splicing of immunoglobulin genes
somatic diversification of immune receptors via gene conversion|gene conversion of immunoglobulin genes
somatic diversification of immune receptors via somatic mutation|somatic hypermutation of immunoglobulin genes
somatic diversification of T cell receptor genes|somatic diversification of T cell receptor genes by N region addition
somatic diversification of T cell receptor genes|somatic recombination of T cell receptor gene segments
somatic diversification of immune receptors by N region addition|somatic diversification of immunoglobulin genes by N region addition
somatic diversification of immune receptors by N region addition|somatic diversification of T cell receptor genes by N region addition
respiratory burst involved in defense response|respiratory burst involved in inflammatory response
respiratory burst involved in defense response|respiratory burst after phagocytosis
somatic recombination of T cell receptor gene segments|T cell receptor V(D)J recombination
antigen processing and presentation initiated by receptor mediated uptake of antigen|antigen processing and presentation initiated by pattern recognition receptor mediated uptake of antigen
antigen processing and presentation initiated by receptor mediated uptake of antigen|antigen processing and presentation following receptor mediated endocytosis
antigen processing and presentation following pinocytosis|B cell antigen processing and presentation following pinocytosis
antigen processing and presentation following pinocytosis|antigen processing and presentation following macropinocytosis
antigen processing and presentation following phagocytosis|antigen processing and presentation initiated by toll-like receptor mediated phagocytosis of antigen
antigen processing and presentation initiated by pattern recognition receptor mediated uptake of antigen|antigen processing and presentation initiated by toll-like receptor mediated phagocytosis of antigen
antigen processing and presentation following receptor mediated endocytosis|B cell antigen processing and presentation mediated by B cell receptor uptake of antigen
cytoplasmic pattern recognition receptor signaling pathway|cytoplasmic pattern recognition receptor signaling pathway in response to virus
cytoplasmic pattern recognition receptor signaling pathway|nucleotide-binding oligomerization domain containing signaling pathway
MyD88-dependent toll-like receptor signaling pathway|MyD88-dependent toll-like receptor 4 signaling pathway
MyD88-dependent toll-like receptor signaling pathway|MyD88-dependent toll-like receptor 2 signaling pathway
MyD88-independent toll-like receptor signaling pathway|TRIF-dependent toll-like receptor signaling pathway
MyD88-independent toll-like receptor signaling pathway|TRAM-dependent toll-like receptor signaling pathway
immune response-activating signal transduction|immune response-activating cell surface receptor signaling pathway
immune response-activating signal transduction|innate immune response-activating signal transduction
innate immune response-activating signal transduction|innate immune response activating cell surface receptor signaling pathway
innate immune response-activating signal transduction|pattern recognition receptor signaling pathway
innate immune response-activating signal transduction|activation of MAPK activity involved in innate immune response
innate immune response-activating signal transduction|activation of MAPKK activity involved in innate immune response
innate immune response-activating signal transduction|activation of MAPKKK activity involved in innate immune response
innate immune response-activating signal transduction|MAPK import into nucleus involved in innate immune response
antimicrobial peptide production|antibacterial peptide production
antimicrobial peptide production|antifungal peptide production
antimicrobial humoral response|antibacterial humoral response
antimicrobial humoral response|antifungal humoral response
complement activation|complement activation, lectin pathway
complement activation|activation of membrane attack complex
complement activation|complement activation, alternative pathway
complement activation|complement activation, classical pathway
immune response|adaptive immune response
immune response|organ or tissue specific immune response
immune response|immune response to tumor cell
immune response|inflammatory response to antigenic stimulus
immune response|humoral immune response
immune response|type 2 immune response
immune response|innate immune response
immune response|immune response involved in response to exogenous dsRNA
humoral immune response|humoral immune response mediated by circulating immunoglobulin
humoral immune response|antimicrobial humoral response
humoral immune response|complement activation
humoral immune response|hemolymph coagulation
natural killer cell mediated cytotoxicity|natural killer cell mediated cytotoxicity directed against tumor cell target
virus induced gene silencing|RNA virus induced gene silencing
virus induced gene silencing|DNA virus induced gene silencing
defense response, incompatible interaction|systemic acquired resistance
defense response, incompatible interaction|induction of phytoalexin biosynthetic process
defense response, incompatible interaction|defense response to bacterium, incompatible interaction
defense response, incompatible interaction|defense response to fungus, incompatible interaction
defense response, incompatible interaction|defense response to protozoan, incompatible interaction
defense response, incompatible interaction|jasmonic acid and ethylene-dependent systemic resistance
T cell chemotaxis|helper T cell chemotaxis
immunoglobulin mediated immune response|type III hypersensitivity
immunoglobulin mediated immune response|type II hypersensitivity
immunoglobulin mediated immune response|humoral immune response mediated by circulating immunoglobulin
immunoglobulin mediated immune response|type I hypersensitivity
immunoglobulin mediated immune response|immune complex formation
immunoglobulin mediated immune response|immunoglobulin-mediated neutralization
type I hypersensitivity|type I hypersensitivity mediated by mast cells
type I hypersensitivity|type I hypersensitivity mediated by basophils
somatic diversification of immunoglobulins|gene conversion of immunoglobulin genes
somatic diversification of immunoglobulins|somatic diversification of immunoglobulins involved in immune response
somatic diversification of immunoglobulins|alternate splicing of immunoglobulin genes
somatic diversification of immunoglobulins|somatic diversification of immunoglobulin genes by N region addition
somatic diversification of immunoglobulins|somatic hypermutation of immunoglobulin genes
somatic diversification of immunoglobulins|somatic recombination of immunoglobulin gene segments
somatic hypermutation of immunoglobulin genes|somatic hypermutation of immunoglobulin genes involved in immune response
somatic recombination of immunoglobulin gene segments|somatic recombination of immunoglobulin genes involved in immune response
somatic recombination of immunoglobulin gene segments|B cell receptor editing
somatic recombination of immunoglobulin gene segments|immunoglobulin V(D)J recombination
B cell mediated immunity|B cell cytokine production
